title,rating,price,promotion,review_num,Brand,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt,popularity_score,popular
"Potent & Organic Vegan Omega 3 Liquid Supplement: Better Than Fish Oil! Plant Based Water Extracted Algae Oil- DHA EPA DPA Fatty Acids- Non GMO- Supports Immune, Heart, Brain & Joint Health-60 Doses",4.3,26.97,,225.0,Amala Vegan,,"в�?WHERE WE DIFFER FROM THE OTHERS - We are unique in that our vegan algae omega 3 is the worldвЂ™s first and only water extracted algae omega 3 oil. At Amala Vegan we use an exclusive water-extracted food-grade algae strain, cultured in pure water outside the ocean, to create this remarkable omega 3 blend free from harmful solvents.в�?FISH OIL POWER WITHOUT THE FISH вЂ?Essential Fatty Acids are just that: essential! Amala Vegan has found a way to naturally give your body what it needs without infringing upon your lifestyle with our DHA and EPA Omega 3 Vegan Supplement! ItвЂ™s a 100% natural, vegetarian supplement in convenient easy to swallow liquid!в�?THE HEALTHIER CHOICE вЂ?Some fish oils can end up being contaminated by natural impurities found in the surrounding water or the fishвЂ™s diet, such as mercury, PCB's, and dioxin. By utilizing only plant based algae, weвЂ™re able to offer you a product free and clear of toxins, as well as preservatives.в�?LIFE SUPPORT вЂ?Our simple omega blend offers an important dose of fatty acids to help improve cardiovascular function as well as proper brain development. Fatty acids are also integral to the health of your eyes. Enjoy better health and knowing that your vital functions are being supported properly with Amala Vegan!в�?GUARANTEED вЂ?Every one of our bottles is guaranteed effective! If for any reason, our product doesnвЂ™t meet your standards, just send it back our way for a hassle free FULL REFUND! The best part is, this guarantee lasts FOR LIFE! On top of all that, youвЂ™ll also be receiving our eBook, ""Bottoms Up: Mouthwatering Smoothies To Tick-Start Your DayвЂ?absolutely free!!",,Adult,Organic Lemon,2.02 Fl Oz,"Immune Support, Bone & Joint Support, Brain Health Support","Ingredients Water-Extracted Algae Oil, Natural Tocopherol, Cold Pressed Organic Lemon Oil",,,['lozenge'],0.5697688323178165,0
"MaryRuth Organics Vegan Omega 3 Gummies for Kids 2+, 2 Month Supply, Sugar Free, Omega 3 Supplement with Vitamin C, Flaxseed Oil, Immune Support, Essential Nutrient ALA, No Fish Taste, 60 Count",4.3,24.95,,539.0,MaryRuth Organics,,"Omega Gummies for Kids: Help support immune function and the overall health of your child with our Vegan Omega-3 Gummies formulated for kids! Formulated from a vegan source of this essential omega fatty acid. With no fishy taste, these gummies may be perfect for picky eaters!Multiple Benefits: Made from alpha-linolenic acid (ALA) derived from flaxseed, one of the richest plant sources of the omega-3 fatty acid. May support immune function as well as overall health for your child. Formulated from a vegan source of this essential omega fatty acid.Vegan Formula: Provide your child with a vegan formula of essential ALA in delicious orange-flavored gummies! Kids love these tasty, pectin-based gummies.Easy-to-Chew-Gummies: No more hard to swallow pills or capsules! Ages 2+, take 1 gummy per day or as recommended by a physician or healthcare professional. Each bottle comes with 60 servings.For Most Lifestyles: MaryRuth's Kids Omega 3 Gummies are Non-GMO, No Gelatin, Pectin Based, Vegan, Made in a GMP (Good Manufacturing Practice) Facility. Dairy Free, Nut Free, Gluten Free, Soy Free, Sugar Free. Clean Label Project Certified. B Corp Certified.",Omega 3,Child,Orange,60.0 Count,Immune Support,Ingredients Omega 3 Fatty Acids | Vitamin C | Vitamin E | Flaxseed Oil;Omega 3,,Gluten Free,['gummy'],0.6077620177909657,0
"Nordic Naturals Complete Omega, Lemon Flavor - 60 Soft Gels - 565 mg Omega-3 - EPA & DHA with Added GLA - Healthy Skin & Joints, Cognition, Positive Mood - Non-GMO - 30 Servings",4.7,16.96,,2447.0,Nordic Naturals,,"WHY COMPLETE OMEGA - This formula blends omega-3 EPA + DHA from cold-water fish with GLA (gamma linolenic acid) & oleic acid (omega-9) from cold-pressed borage seed oil. ItвЂ™s a perfectly balanced combination of omegas 3, 6 & 9.FULL BODY BENEFITS - Research shows that EPA & DHA support heart, brain, eye & immune health. GLA supports healthy skin & joints. Borage oil, a traditional herbal remedy, is said to promote mood health.BETTER ABSORPTION, BETTER TASTE, NO FISHY BURPS - All of our omega-3 fish oils are offered in the triglyceride molecular form (the form naturally found in fish) for optimal absorption. Complete Omega has a great lemon taste.PURITY GUARANTEED - Every batch of Nordic Naturals fish oil is crafted from fresh, wild-caught, omega-rich fish. We are committed to using only non-GMO, gluten- & dairy-free ingredients with no artificial colors, flavors, or preservatives.ETHICAL INNOVATION - Nordic Naturals has always been at the forefront of sustainable & ethical practices in the natural products industry. Our fish oils are Friend of the Sea certified & sustainably made in a zero waste facility powered by biofuel.",,Adult,Lemon,60.00 Count,Immune Support,"Ingredients Purified deep sea fish oil (from anchovies and sardines), soft gel capsule (gelatin, glycerin, water, natural lemon flavor), borage seed oil (Borago officinalis), natural lemon flavor, d-alpha tocopherol (antioxidant), rosemary extract (a natural preservative).",,,['softgel'],0.7689275923678218,1
"Life Extension Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract вЂ?Heart Health, Brain Health, Inflammation Health Support, Gluten-Free, Easy to Swallow, Non-GMO, 240 Softgels",4.6,28.61,,4015.0,Life Extension,,240 SoftgelsServing Size: 460 Servings Per Container,240 Count,,Unflavoured,240,,"Ingredients Calories 25 Total Fat 2.5 g Cholesterol < 5 mg Pure+в„?Wild Fish Oil Concentrate 2000 mg Yielding: EPA (eicosapentaenoic acid) 700 mg DHA (docosahexaenoic acid) 500 mg Polyphen-Oilв„?Olive extract (fruit and leaf) [providing 19.5 mg polyphenols, 5.2 mg hydroxytyrosol/tyrosol, 4.4 mg verbascoside/oleuropein] 300 mg Sesame seed lignan extract 10 mg Other ingredients: highly refined fish oil concentrate (from one or more anchovy, jack mackerel, mackerel, sardine), gelatin, glycerin, purified water, silica, natural flavor, sunflower lecithin, caramel color, mixed tocopherols, rosemary extract, maltodextrin. Contains sesame Non-GMO IFOSв„?certification mark is a registered trademark of Nutrasource Diagnostics, Inc. These products have been tested to the quality and purity standards of the IFOSв„?program conducted at Nutrasource Diagnostics, Inc.",,,,0.7667098713489318,1
"Nature Made Fish Oil Gummies, Omega 3 Fish Oil Supplements, Healthy Heart Support, 90 Gummies, 45 Day Supply",4.6,15.02,,2643.0,Nature Made,,"Heart health support supplement: contains one 90 count bottle of Nature Made Fish Oil Gummies for a 45-day supplyThese Nature Made Fish Oil gummies for women and men provide heart healthy Omega-3s EPA and DHAGummy Fish Oil supplements for women and men in tasty strawberry, lemon, and orange with other natural flavorsAdults, chew two of these Nature Made Omega 3 Fish Oil gummies dailyThis gluten free Omega 3 Fish Oil supplement has no synthetic dyes, no artificial sweeteners and no high fructose corn syrupUnited States Pharmacopeia (USP) Verified, Number 1 Pharmacist Recommended Vitamin & Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Vitamin,,31604028428,90 Count,Heart Health Support,"Ingredients Corn Syrup, Sugar, Water, Gelatin, Citric Acid, Lactic Acid, Calcium Lactate, Natural Flavors, Malic Acid, Sodium Ascorbate, Colors Added (Including Carmine), Tocopherols.Omega-3 EPA (Eicosapentaenoic Acid)Omega-3 DHA (Docosahexaenoic Acid);Docosahexaenoic acid, Fish Oil",,Plant Based,['gummy'],0.7484776318384055,0
"Nature Made Omega 3 Fish Oil Pearls 550 mg per serving, Small Size Fish Oil Supplements as Ethyl Esters, Omega 3 Supplement for Healthy Heart Support, 300 Softgels, 100 Day Supply",4.7,30.0,,1472.0,Nature Made,,"Heart health support supplement: contains one 300 count bottle of Nature Made Omega-3 (1) from Fish Oil Pearls (4) 550mg per serving for a 100-day supplySmall but mighty: these are the smallest Fish Oil softgels offered by Nature Made and are purified to remove mercury (2)One serving of three pearl sized softgels (4) provides 275 mg of EPA and 225 mg of DHA to support a healthy heartAdults, take three of these Nature Made Omega 3 (1) from Fish Oil softgels daily with water and a meal for optimal absorptionThese gluten free and dairy free Omega 3 Fish Oil softgels (1) have no color added and no artificial flavorsUnited States Pharmacopeia (USP) Verified, Number 1 Pharmacist Recommended Vitamin and Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Omega 3,Adult,Fish,300 Count,Healthy Heart Support,"Ingredients Omega-3 Concentrate from Fish OilвЂ вЂ? Omega-3 EPA (Eicosapentaenoic Acid)вЂ вЂ?Omega-3 DHA (Docosahexaenoic Acid), Gelatin, Glycerin, Water, Tocopherols",,Gluten Free,['softgel'],0.7467707030301041,0
"Organic Omega 3 Gummies with Omegas 6, 7, 9, DHA & EPA from Flaxseed Oil and Sea Buckthorn Fruit Oil - Sugar-Free, Supports Brain, Heart, Eye & Immune System, Supplements for Kids & Adults (60 CT)",4.2,17.59,,1485.0,BeLive,,"PLANT BASED OMEGA 3: from organic flaxseed (alpha linolenic acid) and organic sea buckthorn. 60 chewable gummies (1-month serving) to improve overall health, immunity, heart function, mental performance, and responses to inflammation. For kids, adults, and women.A TASTY ALTERNATIVE TO LARGE SOFTGELS: BeLive Omega 3 Gummies are Vegan, Sugar-free, Sweetened with natural ingredients such as maltitol syrup, peach fruit, vanilla essence, monk fruit, and black carrot juice for a pleasant fruity taste; Free of contaminants that may be found in omega 3 fish oil.SUPPORT YOUR HEART & BRAIN: Triple Omega-3s ALA Fatty Acids support optimal heart function; Protects the brain and eye cells; and Reduces the risk of age-related changes that alter sight and mental health. Taking omega-3s regularly can heighten memory, motivation, focus, and energy.FULL BODY SUPPORT: Omegas 3, 6, 7, & 9 improve blood circulation, increase antioxidant activity, improve bone and joint health, and promotes more rapid tissue repair. Omega-3s can also help calm an overactive immune response.ALLERGEN FREE: Does not contain dairy, fish, shellfish, nuts, wheat, artificial flavors, colors, or additives. Your entire family can take BeLive Omega Gummies with ease. Experience the well-known health benefits of Omega-3s from plant-based sources by taking just two (2) gummies daily.",,Adult,Fruit,60.0 Count,Antioxidant,"Ingredients Maltitol Syrup, Glycerine, Pectin, Citric Acid, Sodium Citrate, Sunflower Seed Oil, Natural Flavours, Monk Fruit Extract, Black Carrot Juice Concentrate (for color), Glazing Agent (Carnauba Wax and Vegetable Oil), Organic Flaxseed Oil, Organic Seabuckthorn Fruit Oil",Directions Take 2 gummies a day,"Gluten Free, Vegan",['gummy'],0.6281063512295284,0
"Nature Made Burp Less Ultra Omega 3 Fish Oil 1400 mg, Fish Oil Supplements, Omega 3 Supplement for Healthy Heart, Brain and Eyes Support, One Per Day, 45 Softgels",4.7,17.69,,3016.0,Nature Made,,"Brain, Eye and Heart supplement: contains one 45 count bottle of Nature Made Burp Less (3) Ultra Omega 3 (1) from Fish Oil 1400 mg Softgels, one per day for a 45-day supplyThis Nature Made Omega 3 (1) Fish Oil one per day dietary supplement is purified to remove mercury (2) and specially made to reduce fishy burpsOne daily Fish Oil Nature Made Omega 3 (1) softgel provides 683 mg of EPA and 252 mg of DHA to support a healthy heart, brain and eyesAdults, take one Ultra Omega 3 (1) from Fish Oil softgel daily with water and a meal for optimal absorptionThese Nature Made Fish Oil 1400 mg Omega 3 softgels are gluten free, dairy free, and contain no color added and no shellfish#1 Pharmacist Recommended Vitamin and Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Fish Oil,Adult,Unflavoured,45 Count,Heart Health Support,"Ingredients Omega-3 Concentrate from Fish Oil, Gelatin, Glycerin, Tocopherols.",,Gluten Free,['softgel'],0.7780434881564453,1
"Barlean's Ideal Omega 3 Fish Oil Supplement, 1,000 mg Softgels, Pharmaceutical Grade EPA & DHA for Brain, Joint, & Heart Health, Orange Flavor, 60 ct",4.6,39.99,,343.0,Barlean's,,"ONE & DONE: Concentrated pharmaceutical grade formulation delivers over 1000mg of high potency Omega 3 fatty acids in a single softgel. One single pill contains 750mg EPA and 250mg DHA from wild caught pollock. Lab tested for purity and IFOS certifiedFEEL YOUR BEST: Barlean's fish oil isn't just a heart health supplement, this essential fatty acid may support cognitive function, visual acuity & healthy eyes, positive mood, immune system health, and may support healthy inflammation responseCERTIFIED SUSTAINABLE & CLEAN: You can feel good knowing that Ideal Omegas are certified sustainable from the Marine Stewardship Council, and we went the extra mile for these pure fish oil supplements with a coveted 5-star rating from IFOS, an accredited third-party testing program exclusively for fish oilsSUGGESTED USE: Take 1 softgel daily with a meal for whole mind and body wellness. Store in a cool, dry place out of reach of children. Fish oil 1000mg is an ideal nutritional supplement for women, men, teens, and seniors; perfect for athletes and bodies on the goA NAME YOU KNOW AND TRUST: Barlean's has been selling premium dietary supplements since 1989, which is more than 30 years of helping people live their healthiest lives! We are passionate about healthy oils and helping people. Proudly made in the USA",Omega 3 Fish Oil,,Orange,60 Count,,"Ingredients Fish oil (Pollock), softgel (gelatin, glycerine, and water), natural flavor, and natural mixed tocopherol;Fish Oil",,Gluten Free,['capsule'],0.6595218177291728,0
"POTENT VEGAN OMEGA 3 Supplement: Better Than Fish Oil! Plant Based Water Extracted Algae Oil- DHA EPA DPA Fatty Acids- Non GMO- Improve Immune System, Joint, Heart, Skin & Brain Health- 2 Month Supply",4.5,23.97,,747.0,Amala Vegan,,"в�?WHERE WE DIFFER FROM THE OTHERS - We are unique in that our vegan algae omega 3 is the worldвЂ™s first and only water extracted algae omega 3 oil. At Amala Vegan we use an exclusive water-extracted food-grade algae strain, cultured in pure water outside the ocean, to create this remarkable omega 3 blend free from harmful solvents.в�?FISH OIL POWER WITHOUT THE FISH вЂ?Essential Fatty Acids are just that: essential! Amala Vegan has found a way to naturally give your body what it needs without infringing upon your lifestyle with our DHA and EPA Omega 3 Vegan Supplement! ItвЂ™s a 100% natural, vegetarian supplement in convenient easy to swallow softgels!в�?THE HEALTHIER CHOICE вЂ?Some fish oils can end up being contaminated by natural impurities found in the surrounding water or the fishвЂ™s diet, such as mercury, PCB's, and dioxin. By utilizing only plant based algae, weвЂ™re able to offer you a product free and clear of toxins, as well as preservatives.в�?LIFE SUPPORT вЂ?Our simple softgel offers an important dose of fatty acids to help improve cardiovascular function as well as proper brain development. Fatty acids are also integral to the health of your eyes. Enjoy better health and knowing that your vital functions are being supported properly with Amala Vegan!в�?GUARANTEED вЂ?Every one of our bottles is guaranteed effective! If for any reason, our product doesnвЂ™t meet your standards, just send it back our way for a hassle free FULL REFUND! The best part is, this guarantee lasts FOR LIFE! On top of all that, youвЂ™ll also be receiving our eBook, ""7 Day Vegan Meal Plan For The Modern KitchenвЂ?absolutely free!!",,Adult,Algae,60.00 Count,"Immune Support, Brain Health Support",,,,['softgel'],0.6695934422662271,0
"Nordic Naturals Postnatal Omega-3, Lemon - 60 Soft Gels - 1120 Total Omega-3 + 1000 IU Vitamin D3 - Formulated for New Moms; Supports Optimal Wellness, Positive Mood, Healthy Metabolism - 30 Servings",4.8,28.95,,1302.0,Nordic Naturals,,"AWARD-WINNING POSTNATAL VITAMINS - Postnatal Omega-3 won the WomenвЂ™s Essentials Award from вЂњTaste for Life,вЂ?the Best of Supplements Award from вЂњBetter Nutrition,вЂ?& is the Official Postnatal Omega-3 of the American Pregnancy Association.WHY OMEGA-3s - Postnatal Omega-3 provides 456 mg of brain-nourishing DHA to support your nursing baby's neurological development, and 586 mg of EPA that research shows can support a positive mood & healthy metabolism for you.BETTER ABSORPTION, BETTER TASTE, NO FISHY BURPS - All of our omega-3 fish oil concentrates are in the triglyceride molecular form (the form naturally found in fish) for optimal absorption. Postnatal Omega-3 has a great lemon taste.PURITY GUARANTEED - Every batch of Nordic Naturals fish oil is crafted from fresh, wild-caught, omega-rich fish. Nordic Naturals is committed to using only non-GMO, gluten- & dairy-free ingredients with no artificial colors or preservatives.ETHICAL INNOVATION - Nordic Naturals has always been at the forefront of sustainable & ethical practices in the natural products industry. Through science & innovation, we are committed to delivering safe, effective nutrients for optimal wellness.",Omega 3,,Lemon,60.00 Count,Brain Health Support,"Eicosapentaenoic Acid,Docosahexaenoic Acid",,Gluten Free,['softgel'],0.7652312123735083,1
"Nordic Naturals Ultimate Omega 2X Teen, Strawberry - 60 Mini Soft Gels - 1120 mg Total Omega-3s with EPA & DHA - Brain Health, Positive Mood, Social Development, Learning - Non-GMO - 30 Servings",4.7,29.84,,1958.0,Nordic Naturals,,"WHY OMEGA-3S - With more than 1000 mg omega-3 EPA & DHA in every serving, Ultimate Omega 2x Teen supports optimal brain function, healthy mood, social development, and learning.HIGH-INTENSITY FORMULA - This formula features our highest concentration omega-3 fish oil in small, easy-to-swallow, strawberry-flavored soft gels.BETTER ABSORPTION, BETTER TASTE - All Nordic Naturals fish oils are in the triglyceride form (the form naturally found in fish) for optimal absorption. Ultimate Omega 2x Teen has a great strawberry taste.PURITY GUARANTEED - Everything we make is third-party tested, surpassing the strictest international standards for purity & freshness. This product is non-GMO, gluten & dairy free, and contains no artificial colors or flavors.ETHICAL INNOVATION - Nordic Naturals has always been at the forefront of sustainable & ethical practices in the natural products industry. Through science & innovation, we are committed to delivering safe, effective nutrients for optimal wellness.",Omega 3,,Strawberry,60.00 Count,Heart Health Support,"Ingredients Purified deep sea fish oil (from anchovies and sardines), soft gel capsule (gelatin, glycerin, water, natural strawberry flavor), natural strawberry flavor, d-alpha tocopherol (antioxidant), rosemary extract (a natural preservative).;All Natural","Directions Suggested Use: For ages 12-18 years, two soft gels daily, with food, or as directed by your health care professional or pharmacist.",Gluten Free,['softgel'],0.7592077712330341,1
"Nature Made Burp Less Fish Oil 1200 mg, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support, Omega 3 Supplement with 200 Softgels, 100 Day Supply",4.6,23.98,,9810.0,Nature Made,,"Heart health support supplement: contains one 200 count bottle of Nature Made Burp Less (3) Fish Oil 1200 mg Softgels for a 100-day supplyThis Burp-less (3) Omega 3 Fish Oil 1200 mg supplement is purified to remove mercury and other contaminants (2)One serving of two Fish Oil softgels provides 720 mg Omega-3 fatty acids (600 mg EPA and DHA) to help support a healthy heartAdults, take two Nature Made Omega 3 Fish Oil softgels daily with water and a mealThis gluten free and dairy free Fish Oil for women and men heart supplement has no color added and no artificial flavors#1 Pharmacist Recommended Vitamin and Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Vitamin,Adult,Fish,200 Count,"Heart Health Support, Brain Health Support, Eye Health Support","Ingredients Gelatin, Glycerin, Water, Methacrylic Acid Copolymer, Polysorbate 80, Glyceryl Monostearate, Triethyl Citrate, Tocopherols, Propylene Glycol.Fish Oil ConcentrateOmega-3 Fatty AcidsOmega-3 EPA (Eicosapentaenoic Acid)Omega-3 DHA (Docosahexaenoic Acid)Omega-",,Gluten Free,['softgel'],0.8056706753400453,1
"Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract - For Heart & Brain Health вЂ?For Inflammation & Cholesterol Management вЂ?Gluten-Free, Non-GMO вЂ?Lemon Flavor 120 Softgels",4.6,28.5,,1454.0,Life Extension,,"A fresh & pure fish oil - Our fish oil comes from wild South Pacific Ocean anchovy. The wild caught fish are processed within hours of harvest in a marine mammal-friendly fishery in Chile. In fact, the fish oil in our formula has earned the highest rating (5 stars) from IFOS, an independent organization that sets the standard for fish oil purity, potency and freshness.Good for heart & mind - Support cardiovascular and cognitive health with optimal doses of EPA and DHA omega-3 fatty acids in our formula. We were inspired by the Mediterranean Diet, which is associated with heart health and an increased life span. So we also included potent olive polyphenols and sesame lignans for additional health benefits.Support already-healthy cholesterol & triglyceride levels - The EPA and DHA fatty acids from fish oil help maintain already-healthy LDL and HDL cholesterol and triglyceride levelsвЂ”one of the most important things you can do for lasting heart health. Taking an omega-3 supplement has also been shown to support a healthy mood.Ingredients matter - Sourced using only the finest raw ingredients with the purity and potency your body deserves. The majority of our products are non-GMO, gluten-free and manufactured in the USAвЂ”and a Certificate of Analysis is available for every product we produce.Live your healthiest life - For over 40 years, weвЂ™ve been developing advanced, effective formulas made with the highest standards and based on the latest scientific findings. We believe the answers to a healthier, richer life are within reach, and that rigorous scientific research is the path to get us there. ThatвЂ™s why so many of our nutritional formulas are designed using specific ingredients and amounts based on scientific studies.Product Note : Exposure to heat or sunlight may lead to melting/damage of product. Hence customers are expected to be available during the product delivery",Pure+в„?Wild Fish Oil Concentrate,,Lemon,120 Count,"Brain Health, Inflammation Management, Heart Health","Sesame seed lignan extract, Pure+в„?Wild Fish Oil Concentrate, EPA, Polyphen-Oilв„?Olive extract, DHA",,Gluten Free,['softgel'],0.722424879674167,0
Chia Seed Oil Extract Capsules - Plant Based Omega 3 6 9 Supplement and Daily Fiber Capsules for Adults Digestive Support Immunity and Heart Health - Omega 3 Fatty Acids Supplement for Men and Women,4.3,17.99,,26.0,Natures Design,Natures Craft,Chia Oil - Say no to omega 3 supplements with fish or gelatin and embrace our new and improved chia seed oil omega 3 fatty acid supplements for men and women looking to improve their overall healthYoung at Heart - Show your ticker some TLC with our plant based heart health supplements rich in ALA alpha-linolenic acid linoleic acid and oleic acid that support your heartвЂ™s overall performanceGut Health Supplement - Choose chia for your digestive health thanks to its high levels of soluble fiber that help promote regularity healthier digestion and help keep you feeling fuller for longerLittle Seed Big Effect - Chia seed omega 3-6-9 supplements can offer real head to toe support ranging from cognitive and brain support to better joint health so give it a try and feel the differenceNatures Craft Quality - We are proud to be a leading name in fatty acids supplements because we believe plant based ingredients like superfood chia seeds offer better quality feel good results,,,,,,Ingredients Chia seed extract 500mg providing Omega 3 6 9,,,['capsule'],0.477092728686339,0
"Nordic Naturals Nordic Beauty Borage Oil, Unflavored - 4 Ounces - Borage Seed Oil, Unique Omega-6 for Healthy and Hydrated Skin, 480 Milligrams of GLA - Non-GMO - Vegan, 48 Servings",4.6,25.46,,250.0,Nordic Naturals,,"ESSENTIAL SUPPLEMENT - Our 100% vegan formula is made exclusively from borage seed, with omega-6 GLA to help with cellular stress. This non-GMO liquid omega-6 supplement is great for whole-body wellness.GLA BORAGE-OIL SUPPLEMENT - Gamma linolenic acid (GLA) is a unique omega-6 fat from borage seeds that supports healthy skin and joints.SUPERIOR TASTE - Our liquid borage oil is impeccably fresh and unflavored, for a clean taste that everyone can enjoy.ETHICAL INNOVATION - Nordic Naturals works with leading lipid scientists and utilizes state-of-the art manufacturing technology to develop sustainable, non-GMO products.OUR PROMISE - At Nordic Naturals, quality and integrity are behind every product we make. Through science and innovation, we are committed to delivering safe, effective nutrients for optimal wellness.",Borage Oil,,Unflavoured,4.00 Fl Oz,Metabolism Management,"Ingredients borage seed oil (Borago officinalis), d-alpha tocopherol (antioxidant), rosemary extract (a natural preservative). No gluten, milk derivatives, or artificial colors or flavors.;Non-GMO",,Vegan,['lozenge'],0.6457737648373936,0
"Garden of Life Dr. Formulated Advanced Omega Fish Oil - Lemon, 1,290mg EPA, DHA + DPA & Vegetarian Omega 3 6 9 Supplement - Raw CoQ10 Chia Seed Oil Whole Food Nutrition",4.3,92.29,,0.0,Garden of Life,,"Product 1: Doctor Formulated Fish Oil supplement to support heart, brain and overall wellness with 695 mg EPA, 465 mg DHA plus 30 mg DPA in Triglyceride Form (the natural form)Product 1: Traceable and sustainably sourced, our Fish Oil supplement is Doctor Formulated with Specialized Pro-Resolving Mediators (SPM)Product 1: Fish Oil Omega 3 supplement formulated with over 1000 mg total Omega-3s per serving and SPM, compounds that support normal inflammatory responses in the bodyProduct 1: Freshness, purity & potency guaranteed, and Third-Party Certified Non-GMO Project Verified & Marine Stewardship Council CertifiedProduct 2: Supports cardiovascular function and heart healthProduct 2: Powerful antioxidant support-fights free radicalsProduct 2: Supports cellular growth, energy production and physical performance as well as healthy aging and longevityProduct 2: Supports digestive health-promotes regularity, digestive comfort and healthy elimination",,,,,,,,Natural,,0.3333333333333333,0
"BlueBonnet Natural Omega-3 Vegetarian DHA Vegetarian Softgels, 200 mg, 30 Count",4.5,16.1,,52.0,Bluebonnet,,"Contains 200 mg of DHA from algal oilBrain Health в™?0 Vegetarian Softgels, 30 ServingsGluten-Free, Non-GMO, Dairy-Free, 3rd Party Tested, VeganFree of milk, egg, fish, crustacean shellfish, tree nuts, peanuts, wheat and soybeans. Also free of yeast, gluten, barley, rice, sodium and sugar.During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.",,Adult,,30 Count,Brain Health Support,"Ingredients Amount Per Serving % Daily Value*** : , DHA (docosahexaenoic acid from algal oil) 200 mg : , ***Percent Daily Values are based on a 2,000 calorie diet : , Other Ingredients: Algal oil, soluble food starch, glycerin, high oleic sunflower oil, water, sea vegetable extract, sorbitol, ascorbyl palmitate, tocopherols, natural flavor, lecithin (sunflower), beta-carotene, natural caramel color. Contains soybeans",,"Vegetarian, Vegan",['softgel'],0.5541304804980491,0
"Vegan Omega-3: 450mg DHA & EPA - Plant-Based Algae Oil - Brain, Heart, & Joint Health. Carrageenan-Free Fish Oil Alternative. US-Grown Algae in Eco-Friendly Pouch (60 Ct)",4.5,30.0,,152.0,Calgee,,"VEGAN OMEGA-3 SUPPLEMENT вЂ?Fish oil can be an excellent supplement for essential Omega-3 fatty acids (EPA) and docosahexaenoic (DHA). However, fish oil is not vegan or vegetarian-friendly. At Calgee, our algae-based Omega-3 supplement is 100% vegan, vegan.org certified, and sustainably harvested from algae for maximum nutrient absorption. It is one of the richest plant-based Omega-3 supplements in the marketplace.SUPPORTS COGNITIVE HEALTH AND IMMUNITY вЂ?Do you feel youвЂ™re losing focus and canвЂ™t think clearly? If thatвЂ™s you, then youвЂ™re at the right place because our vegetarian Omega 3 supplement is formulated with a high concentration of DHA, which may improve clarity, focus, mood, and overall brain health. If you are a student taking an exam, an office worker working overtime, or just someone who canвЂ™t concentrate well or for a long duration, this may be the perfect solution.MAY IMPROVE CARDIOVASCULAR HEALTH вЂ?Are you or your family struggling with heart problems? Our Sustainable Vegan Omega-3 supplement can be a great addition to your daily life. It may assist cellular membrane function, decrease swelling, and help support healthy cholesterol levels. It also may support eye and skin health. These amazing benefits may be obtained by just a daily intake of our premium quality Vegan Omega-3 pills.FREE FROM MAJOR ALLERGENS WITH NO CARRAGEENAN вЂ?One of the biggest worries is whether the supplement you are taking will cause harmful side effects or allergic reactions. Our Omega-3 supplement is free from major allergens like Gluten, Corn, Soy, and Shellfish. Unlike most Vegan Omega-3 supplements in the marketplace, itвЂ™s also carrageen-free. This makes it the perfect prenatal DHA Omega-3 source for women.THE SUSTAINABLE ALTERNATIVE TO FISH OIL вЂ?Did you know that fish donвЂ™t produce Omega-3s? They obtain them by consuming nutrient-rich algae. ThatвЂ™s why we went straight to the source. With 85% more EPA & DHA fatty acids per serving than fish oil, our Omega-3 is perfect for anyone looking for a sustainable alternative. Our Vegan Omega-3 contains the only single-sourced DHA & EPA algal oil in a carrageenan-free softgel.",,Bag,60 Softgels,60.00 Count,Adult,"Ingredients Algal Oil (Schizochytrium Sp. Algae), Modified Tapioca Starch, Glycerin, Purified Water, High Oleic Sunflower Oil, Tocopherols, Rosemary Oil (Preservative), Ascorbyl Palmitate.;Algae Oil",,"Vegetarian, Gluten Free, Kosher, Vegan, Plant Based",['softgel'],0.600372438237236,0
